"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"867",108.190002,109.75,108.120003,109.68,214128200,91.474365
"868",110.519997,111.120003,109.400002,109.510002,207196100,91.332581
"869",110.279999,112.099998,110.089996,112,238268700,93.409286
"870",111.419998,112.419998,111.199997,111.959999,216374000,93.375916
"871",112.279999,112.330002,111.050003,112.139999,263185800,93.526062
"872",111.830002,112.129997,111.370003,111.730003,174006600,93.627449
"873",113.120003,113.199997,110.790001,111.410004,213140700,93.359291
"874",111.410004,111.900002,109.410004,109.57,239355400,91.817413
"875",109.639999,110.029999,108.480003,109.230003,254639900,91.532494
"876",108.690002,108.830002,107.139999,107.419998,268523600,90.015755
"877",107.739998,108.419998,106.769997,107.870003,238726500,90.392815
"878",108.029999,108.32,107.139999,107.529999,169218600,90.10791
"879",106.019997,107.510002,103.550003,104.209999,373649500,87.325821
"880",103.919998,104.879997,102.879997,103.220001,284101700,86.496239
"881",103.150002,103.489998,101.129997,102.760002,382924800,86.110779
"882",103.110001,103.419998,101.620003,102.199997,233385200,85.641502
"883",103.639999,104.370003,101.879997,102.870003,256935300,86.202934
"884",103.129997,106.239998,103.019997,106.110001,253769400,88.917999
"885",107,107.279999,105.910004,107.160004,210842100,89.797874
"886",107.129997,107.970001,106.93,107.959999,144999900,90.468254
"887",107.599998,108.239998,107.150002,108.029999,131283600,90.526924
"888",109.150002,110.089996,108.93,109.660004,213025900,91.89283
"889",109.309998,110.080002,108.860001,109.650002,184426800,91.88443
"890",109.610001,110.059998,108.169998,109.68,232337900,91.909576
"891",109.089996,109.209999,106.449997,106.660004,282693400,89.378914
"892",107.050003,107.629997,106.220001,107.290001,186709000,89.906822
"893",105.870003,108.559998,105.82,108.480003,258162400,90.904015
"894",109.040001,109.07,106.629997,107.07,264527000,89.722443
"895",108.339996,109.940002,108.330002,109.459999,274781300,91.725243
"896",109.239998,110.57,108.93,110.410004,222020800,92.521317
"897",110.599998,111.669998,110.290001,111.559998,184445700,93.484955
"898",112.169998,112.290001,111.110001,111.550003,204855600,93.476616
"899",111.32,111.660004,110.459999,110.830002,163056200,92.873253
"900",111.519997,111.82,109.410004,110.290001,220149100,92.420746
"901",109.169998,110.860001,108.980003,110.269997,220070600,92.403992
"902",111.989998,112.940002,111.540001,112.760002,188263200,94.490555
"903",112.480003,112.769997,111.849998,112.220001,146657300,94.038071
"904",112.529999,113.110001,112.160004,112.970001,158171700,94.666534
"905",112.25,112.910004,112.080002,112.849998,140473800,94.565979
"906",111.739998,112.57,110.919998,112.389999,239728300,94.180511
"907",112.919998,113.18,112.32,112.989998,120800400,94.683311
"908",112.029999,112.980003,111.370003,112.379997,242916300,94.172119
"909",110.650002,110.690002,109.120003,109.300003,273406900,91.591156
"910",107.650002,109.019997,107.599998,108.629997,239542600,91.029694
"911",108.290001,108.959999,108.18,108.309998,158698500,90.761551
"912",107.57,108.610001,107.18,108.260002,147895300,90.719658
"913",109.190002,110.389999,108.879997,109.589996,172270300,91.834175
"914",109.540001,110.379997,108.910004,109.790001,182922100,92.001755
"915",109.220001,109.489998,107.43,107.879997,265847600,90.40123
"916",107.559998,107.940002,106.75,107.529999,209714200,90.10791
"917",108.040001,108.57,107.07,107.120003,163490300,89.764359
"918",105.949997,106.389999,104.970001,105.529999,280677800,88.431953
"919",104.949997,106.339996,104.290001,105.940002,272234800,88.775536
"920",106.440002,106.580002,104.879997,105.230003,224439500,88.180565
"921",105.889999,106.970001,104.309998,106.860001,272649000,89.546501
"922",106.580002,106.910004,105.300003,105.309998,167238600,88.247597
"923",104.919998,105.980003,104.489998,105.309998,273933100,88.247597
"924",106.730003,108.610001,106.660004,108.459999,256828100,90.88723
"925",108.720001,109.489998,108.489998,109.470001,156112200,91.733582
"926",110.540001,110.989998,109.949997,110.889999,212197300,92.923531
"927",110.370003,110.510002,109.550003,109.639999,141973700,91.876068
"928",109.860001,110.849998,109.809998,110.410004,149924400,92.521317
"929",111.650002,111.68,110.620003,110.919998,147017900,92.948685
"930",111.120003,111.610001,110.870003,111.480003,127819000,93.417953
"931",112.580002,112.949997,112.129997,112.720001,178503500,94.457054
"932",112.5,113.290001,112.080002,112.650002,209823600,94.398399
"933",112.32,113.209999,111.980003,113.080002,168608400,94.758705
"934",112.730003,113.120003,112.349998,113.050003,199962900,94.733574
"935",113.040001,113.150002,112.18,112.489998,195836900,94.768944
"936",112.879997,114.459999,112.519997,114.209999,214555200,96.21801
"937",114.300003,114.839996,113.510002,113.980003,268389100,96.024231
"938",113.800003,114.440002,113.099998,113.419998,191322400,95.552467
"939",112.489998,113.669998,112.18,112.5,202354300,94.777382
"940",113.75,114.900002,113.650002,114.82,209671800,96.731895
"941",114.860001,114.989998,114.160004,114.269997,128761800,96.268547
"942",114.419998,115.040001,113.18,114.669998,209207500,96.605537
"943",114.379997,114.910004,114.019997,114.470001,179665800,96.437042
"944",115.050003,115.790001,113.589996,114.129997,287106700,96.150604
"945",114.989998,115.120003,113.93,114.610001,174638700,96.55497
"946",114.370003,114.849998,113.18,113.75,166153200,95.83046
"947",114.800003,116.32,114.669998,116.040001,229634100,97.759735
"948",116.019997,116.330002,115.559998,116.029999,148626600,97.751274
"949",116.5,116.529999,115.190002,115.889999,164860000,97.633347
"950",116.050003,116.860001,115.610001,116.540001,177760100,98.180931
"951",116.720001,116.970001,116.25,116.650002,103098300,98.273621
"952",116.269997,117.349998,115.650002,117.010002,182210000,98.576904
"953",117.660004,118.550003,117.379997,117.919998,194347200,99.343544
"954",117.809998,118.010002,116.720001,117.459999,217764300,98.956009
"955",118.279999,118.349998,116.760002,117.699997,243705000,99.158203
"956",117.739998,118.669998,117.309998,118.279999,141204800,99.646828
"957",117.190002,117.849998,116.019997,116.730003,280604700,98.341026
"958",116.940002,118.440002,116.870003,117.870003,200051800,99.301422
"959",118.400002,119.089996,117.209999,118.129997,221585500,99.52047
"960",118.309998,118.529999,118,118.349998,108212400,99.705811
"961",119.139999,119.760002,118.610001,118.699997,151145700,100.000664
"962",118.099998,118.839996,117.870003,118.720001,158982900,100.017532
"963",117.889999,118.510002,117.260002,118.379997,190024000,99.731079
"964",119.059998,119.110001,117.830002,118.400002,168576000,99.747925
"965",118.279999,118.720001,118.07,118.489998,144305500,99.823723
"966",119.07,119.75,117.849998,118.529999,174074800,99.85746
"967",119.419998,119.75,119.099998,119.470001,158345900,100.649368
"968",119.68,120.019997,118.449997,119.949997,226702800,101.053749
"969",121.279999,122.32,119.970001,122.260002,215039400,102.999847
"970",122.339996,122.919998,122.18,122.720001,180654100,103.387367
"971",122.339996,122.690002,121.940002,122.489998,156107100,103.193611
"972",122.82,122.949997,121.120003,121.610001,186621600,102.452255
"973",121.580002,122.160004,120.660004,122.099998,221387400,102.865036
"974",121.050003,121.82,120.68,121.639999,158017600,102.477501
"975",120.82,121.349998,119.650002,120.199997,239068800,101.264381
"976",120.580002,121.050003,119.980003,120.029999,163940800,101.121147
"977",119.290001,119.489998,117.589996,118.160004,299566200,99.545738
"978",118.209999,118.709999,117.860001,118.220001,172308900,99.596283
"979",119.360001,120.389999,119.349998,119.959999,197723700,101.062195
"980",119.900002,120.339996,119.25,120.290001,156852900,101.340195
"981",119.690002,120.239998,118.769997,120.190002,181361000,101.255943
"982",118.769997,119.019997,117.989998,118.449997,222309000,99.790054
"983",119.199997,120.230003,119.18,120.199997,140046100,101.264381
"984",119.160004,119.809998,118.800003,118.800003,76007800,100.084923
"985",118.5,119.480003,117.739998,119.160004,223642300,100.388206
"986",117.980003,119.169998,117.809998,118.489998,233930700,99.823723
"987",120.199997,121.239998,120.190002,121.010002,221037200,101.946762
"988",121.199997,122.650002,121.129997,122.559998,191213600,103.252586
"989",122.139999,123.029999,122.110001,122.889999,151288900,103.530594
"990",122.629997,123.040001,122.5,122.760002,103050500,103.421074
"991",123.940002,124.010002,122.760002,122.830002,206581000,103.480057
"992",122.980003,123.379997,122.410004,123.279999,138019200,103.859154
"993",123.970001,124.019997,123.150002,123.760002,123705100,104.263542
"994",124.139999,124.599998,123.730003,124.480003,117571700,104.87011
"995",125.050003,125.199997,124.519997,124.559998,133812700,104.937492
"996",124.75,125.230003,124.290001,124.669998,147249600,105.030174
"997",124.440002,124.93,123.889999,124.099998,160823100,104.549995
"998",124.18,124.910004,123.75,124.82,185035200,105.156555
"999",124.080002,124.459999,123.82,124.300003,141075300,105.269173
"1000",124.639999,124.900002,123.980003,124.599998,119085500,105.52327
"1001",124.989998,125.470001,124.870003,125.389999,94965500,106.192322
"1002",125.480003,125.82,125.410004,125.779999,78878100,106.522591
"1003",125.639999,125.779999,125.290001,125.599998,70053700,106.370155
"1004",125.129997,125.769997,125.040001,125.650002,58126000,106.412514
"1005",125.900002,125.949997,125.5,125.830002,55309100,106.564926
"1006",125.980003,126.199997,125.900002,125.919998,58033100,106.641182
"1007",125.800003,126.129997,125.529999,125.720001,76616900,106.471764
"1008",125.529999,125.870003,125.330002,125.75,91218900,106.497185
"1009",126.709999,127.599998,125.699997,127.050003,138725200,107.598145
"1010",127.330002,127.370003,126.190002,126.980003,137409700,107.538879
"1011",126.580002,127.720001,126.459999,127.639999,133975300,108.097839
"1012",127.690002,127.830002,127.010002,127.389999,122519000,107.886108
"1013",127.559998,127.769997,126.150002,127.139999,156034600,107.674393
"1014",126.580002,127.160004,126.199997,126.980003,122401700,107.538879
"1015",127.440002,127.739998,126.949997,127.43,110287000,107.919991
"1016",128.210007,128.720001,127.459999,128.580002,107929200,108.893906
"1017",128.630005,128.690002,128.050003,128.369995,129048400,108.716087
"1018",128.190002,129.330002,128.100006,129.300003,117677900,109.50367
"1019",129.179993,129.639999,129.029999,129.520004,114401300,109.689987
"1020",129.410004,129.539993,127.910004,128.25,151958400,108.614449
"1021",127.959999,128.399994,127.129997,128.080002,175745700,108.470451
"1022",128.880005,129.169998,128.229996,128.369995,151462900,108.716087
"1023",128.289993,129.25,128.259995,129.100006,113715500,109.334305
"1024",128.759995,129.279999,128.110001,129.169998,167552200,109.39357
"1025",129.490005,130.050003,129.229996,129.669998,141281500,109.817047
"1026",129.699997,130.210007,129.470001,129.990005,123302700,110.088043
"1027",130.139999,130.350006,127.510002,127.720001,295637300,108.165573
"1028",128.070007,128.779999,127.75,128.679993,149249200,108.978592
"1029",129.460007,130.970001,129.380005,130.740005,167194300,110.723221
"1030",130.399994,130.839996,130.330002,130.490005,118323600,110.511505
"1031",130.259995,130.979996,129.570007,130.779999,145886700,110.757072
"1032",130.830002,131.199997,130.229996,131.149994,134634800,111.070404
"1033",131.440002,132.399994,131.429993,131.970001,112439100,111.764915
"1034",132.089996,132.639999,131.729996,132.570007,99072800,112.27301
"1035",132.210007,132.630005,131.610001,132.270004,146436700,112.018967
"1036",131.600006,132.470001,131.300003,132.320007,162708500,112.061317
"1037",131.800003,133.279999,131.770004,133.110001,137710300,112.730354
"1038",133.029999,133.539993,132.880005,133.429993,101690700,113.001366
"1039",133.020004,133.220001,132.320007,133.009995,119575400,112.645638
"1040",133.460007,134.009995,133.190002,133.850006,130183500,113.357056
"1041",133.460007,134.429993,133.339996,134.25,109810500,113.695816
"1042",134.369995,134.690002,134.059998,134.529999,130002400,113.932953
"1043",133.119995,134.559998,131.470001,131.830002,233116400,111.646339
"1044",131.75,132.070007,130.210007,131.020004,227584000,110.960335
"1045",130.880005,131.440002,129.699997,130.929993,260431400,110.884109
"1046",131.479996,132.410004,131.399994,132.330002,141686900,112.069778
"1047",132.820007,133.320007,132.380005,133.149994,141585500,112.764221
"1048",133.570007,133.690002,130.889999,130.929993,258565500,110.884109
"1049",130.75,131.820007,130.350006,131.210007,200277400,111.121254
"1050",132.399994,133.619995,132.389999,133.470001,176480100,113.035248
"1051",133.369995,133.630005,131.600006,132.470001,277202300,112.188354
"1052",132.860001,133.160004,130.740005,131.429993,216790400,111.307579
"1053",131.639999,133,131.070007,132.580002,174615000,112.281494
"1054",132.320007,132.800003,131.600006,132.389999,153806000,112.120583
"1055",131,131.179993,129.809998,129.940002,301291800,110.045685
"1056",129.520004,131.309998,129.490005,130.839996,225621800,110.807899
"1057",129.990005,130.479996,129.059998,130.050003,234974100,110.138863
"1058",126.589996,129.330002,126.5,128.559998,359585400,108.876991
"1059",128.149994,128.570007,125.279999,126.18,468670300,106.861382
"1060",128,128.389999,127.099998,127.849998,254303700,108.275673
"1061",128.839996,128.880005,127.510002,127.760002,230435400,108.669495
"1062",129.350006,130.009995,129.199997,129.740005,153992600,110.353653
"1063",129.720001,129.889999,129.169998,129.289993,129538600,109.970863
"1064",128.929993,130,128.320007,129.660004,148603100,110.285599
"1065",130.399994,131.089996,129.669998,130.899994,159129800,111.340271
"1066",131.240005,131.869995,130.889999,131.300003,155642800,111.680542
"1067",131.580002,131.919998,130.940002,130.979996,109762400,111.408371
"1068",130.869995,131.899994,130.440002,131.860001,129798800,112.156868
"1069",132.550003,133.160004,132.360001,132.770004,135835000,112.930885
"1070",132.600006,132.960007,132.449997,132.589996,132537100,112.777771
"1071",133.410004,133.770004,132.830002,133.149994,153850100,113.254089
"1072",133.429993,133.669998,132.880005,133.259995,100768900,113.347641
"1073",133,133.830002,132.940002,133.240005,120791500,113.33065
"1074",133.880005,134,133.119995,133.660004,120411600,113.687874
"1075",133.419998,133.979996,132.660004,133.320007,170731500,113.398689
"1076",133.910004,133.990005,132.309998,132.860001,147945400,113.007423
"1077",133,133.449997,132.139999,132.460007,121385400,112.667206
"1078",131.720001,131.979996,130.990005,131.470001,161187400,111.825142
"1079",132.080002,132.179993,130.960007,131.460007,162059000,111.816643
"1080",130.699997,131.759995,130.270004,131.559998,161220400,111.901672
"1081",131.800003,132.369995,131.410004,132.039993,170006700,112.309967
"1082",130.589996,132.029999,129.509995,130.559998,210759300,111.051117
"1083",130.759995,131.350006,130.440002,131.309998,124258800,111.689034
"1084",132.880005,133.389999,132.789993,133.100006,156133800,113.211563
"1085",133.789993,133.839996,133.100006,133.779999,135935400,113.789955
"1086",133.679993,133.860001,133.199997,133.639999,65757100,113.670898
"1087",134.050003,135.059998,133.910004,134.789993,146600000,114.649025
"1088",135.050003,135.869995,134.5,135.669998,143031000,115.39753
"1089",135.429993,136.289993,135.410004,136.110001,124791100,115.77179
"1090",136.160004,136.570007,135.979996,136.429993,115094100,116.044006
"1091",137.070007,137.179993,135.949997,136.220001,126278700,115.865379
"1092",135.960007,136.190002,135.039993,135.729996,138375000,115.448578
"1093",135.669998,135.729996,134.229996,134.830002,182678500,114.683052
"1094",134.080002,134.949997,133.020004,133.610001,226900000,113.645378
"1095",134.940002,135.630005,133.679993,134.199997,222787200,114.147209
"1096",134.190002,135.110001,133.979996,134.720001,114104500,114.589485
"1097",135.169998,136.110001,135,135.869995,114806900,115.567627
"1098",135.669998,135.690002,133.820007,134.440002,193564200,114.351334
"1099",134.080002,135.360001,133.389999,135.080002,171550700,114.895714
"1100",135.149994,135.339996,133.559998,134.039993,157444900,114.011116
"1101",133.559998,134.610001,132.970001,133.190002,141675400,113.288109
"1102",132.690002,133.350006,132.119995,133.169998,192686200,113.271111
"1103",133.240005,134.5,132.949997,134.360001,135217900,114.283325
"1104",134.800003,135.029999,133.940002,134.679993,119489500,114.555481
"1105",134.330002,134.679993,133.360001,133.610001,182594900,113.645378
"1106",131.979996,132.720001,131.589996,132.059998,168700000,112.326965
"1107",132.440002,132.729996,131.699997,131.949997,147199600,112.233414
"1108",131.419998,132.940002,131.380005,132.389999,151050100,112.607658
"1109",132.029999,133.240005,131.779999,133,164850000,113.126518
"1110",133.369995,133.869995,132.960007,133.509995,120921900,113.56031
"1111",134.770004,134.919998,133.839996,134.899994,164731200,114.742599
"1112",134.509995,134.919998,131.759995,131.869995,233094300,112.165352
"1113",131.960007,132.240005,130.960007,131.729996,200466800,112.04628
"1114",130.149994,131.419998,130.080002,130.419998,234690200,110.93203
"1115",130.089996,130.360001,128.869995,129.039993,179951200,109.758247
"1116",129.699997,130.070007,128.850006,128.960007,161660500,109.690201
"1117",128.759995,129.190002,128.179993,128.419998,198696400,109.230858
"1118",128.770004,129.929993,128.460007,129.399994,160964400,110.064438
"1119",128.850006,128.929993,127.260002,127.599998,238629400,108.533409
"1120",127.889999,128.240005,127.050003,127.699997,207599800,108.618446
"1121",128.869995,129.770004,128.820007,129.320007,160570400,109.996414
"1122",128.240005,129.300003,126.68,127.019997,300958000,108.040062
"1123",127.059998,127.970001,126.32,127.300003,308032800,108.278229
"1124",127.93,127.940002,126.620003,127.050003,233284900,108.601357
"1125",126.620003,127.970001,126.580002,127.699997,159479000,109.156929
"1126",128.360001,129.699997,127.75,129.449997,193157300,110.652824
"1127",129.050003,129.809998,128.589996,128.669998,176703000,109.986099
"1128",127.160004,128.639999,126.190002,128.300003,334286500,109.669838
"1129",128.270004,128.369995,126.620003,126.809998,226129300,108.396194
"1130",126.889999,128.429993,126.639999,127.940002,168904700,109.362122
"1131",128.449997,129.630005,128.270004,129.610001,165556300,110.789597
"1132",130.199997,130.929993,129.630005,130.720001,244295500,111.738434
"1133",131.139999,132.179993,130.710007,131.970001,223322700,112.806938
"1134",132.089996,134.100006,131.779999,133.919998,202385700,114.473785
"1135",133.779999,134.080002,133.389999,133.809998,165936000,114.379738
"1136",133.490005,134.139999,133.110001,133.970001,143331600,114.516533
"1137",135.160004,135.699997,134.880005,135.360001,170464200,115.704659
"1138",133.830002,135.360001,133.389999,134.399994,194100500,114.884056
"1139",132.75,133.179993,131.660004,131.970001,195918600,112.806938
"1140",131.690002,132.779999,131.360001,131.399994,214675700,112.319687
"1141",132.089996,133.220001,131.520004,131.839996,204062600,112.695778
"1142",132.169998,132.779999,130.679993,130.929993,226111800,111.917923
"1143",131.660004,131.869995,130.770004,131.690002,220012800,112.567566
"1144",131.080002,131.279999,129.630005,130.610001,196872100,111.644424
"1145",131.339996,132.889999,131.309998,132.729996,166554900,113.456535
"1146",133.070007,133.149994,132.419998,132.649994,137145400,113.388184
"1147",133.399994,134.820007,132.669998,134.490005,245246300,114.960999
"1148",134.520004,134.720001,133.759995,134.580002,126019400,115.037941
"1149",133.300003,134.490005,133.160004,133.830002,136653800,114.396835
"1150",133.740005,133.960007,133.029999,133.330002,131278200,113.969429
"1151",132.589996,132.630005,130.429993,130.600006,249020100,111.635864
"1152",130.600006,131.770004,130.009995,130.220001,207939900,111.31102
"1153",128.910004,130.550003,127.970001,129.330002,307038400,110.550255
"1154",130.839996,130.960007,127.529999,128.779999,325790900,110.08017
"1155",127.809998,128.5,125.489998,125.489998,346653800,107.26786
