"","BAMLC0A4CBBBEY"
"1862",4.62
"1863",4.65
"1864",4.64
"1865",4.67
"1866",4.66
"1867",4.59
"1868",4.67
"1869",4.73
"1870",4.68
"1871",4.8
"1872",4.82
"1873",4.77
"1874",4.81
"1875",4.82
"1876",4.77
"1877",4.79
"1878",4.84
"1879",4.76
"1880",4.73
"1881",4.77
"1882",4.69
"1883",4.72
"1884",4.68
"1885",4.67
"1886",4.68
"1887",4.67
"1888",4.67
"1889",4.72
"1890",4.68
"1891",4.68
"1892",4.67
"1893",4.69
"1894",4.64
"1895",4.67
"1896",4.66
"1897",4.71
"1898",4.73
"1899",4.7
"1900",4.53
"1901",4.47
"1902",4.44
"1903",4.46
"1904",4.48
"1905",4.5
"1906",4.5
"1907",4.43
"1908",4.43
"1909",4.48
"1910",4.51
"1911",4.46
"1912",4.45
"1913",4.46
"1914",4.47
"1915",4.55
"1916",4.58
"1917",4.58
"1918",4.59
"1919",4.64
"1920",4.85
"1921",4.91
"1922",4.86
"1923",4.85
"1924",4.87
"1925",NA
"1926",4.88
"1927",4.98
"1928",5.04
"1929",5.06
"1930",5.01
"1931",5.05
"1932",5.09
"1933",5.1
"1934",5.03
"1935",5.12
"1936",5.09
"1937",5.06
"1938",5.13
"1939",5.2
"1940",5.21
"1941",5.2
"1942",5.23
"1943",5.27
"1944",5.33
"1945",5.51
"1946",5.54
"1947",5.52
"1948",5.55
"1949",5.61
"1950",5.54
"1951",5.45
"1952",5.47
"1953",5.52
"1954",5.47
"1955",5.51
"1956",5.49
"1957",5.48
"1958",5.43
"1959",5.35
"1960",5.4
"1961",5.44
"1962",5.48
"1963",5.51
"1964",5.51
"1965",5.57
"1966",5.54
"1967",5.54
"1968",5.59
"1969",5.58
"1970",5.58
"1971",5.66
"1972",5.48
"1973",5.52
"1974",5.49
"1975",5.5
"1976",5.48
"1977",5.48
"1978",5.47
"1979",5.42
"1980",5.43
"1981",5.52
"1982",5.49
"1983",5.46
"1984",5.4
"1985",5.31
"1986",5.3
"1987",5.32
"1988",5.31
"1989",5.31
"1990",5.3
"1991",5.28
"1992",5.31
"1993",5.32
"1994",5.31
"1995",5.18
"1996",5.18
"1997",5.27
"1998",5.31
"1999",5.29
"2000",5.27
"2001",5.31
"2002",5.4
"2003",5.39
"2004",5.37
"2005",5.28
"2006",5.33
"2007",5.33
"2008",5.3
"2009",5.31
"2010",5.29
"2011",5.1
"2012",5.13
"2013",5.19
"2014",5.19
"2015",5.15
"2016",5.11
"2017",5.13
"2018",5.07
"2019",5.09
"2020",5.07
"2021",5.09
"2022",5.13
"2023",5.12
"2024",5.11
"2025",5.07
"2026",5.07
"2027",5.03
"2028",4.99
"2029",4.99
"2030",5.04
"2031",5.13
"2032",5.13
"2033",5.09
"2034",5
"2035",5.03
"2036",5.02
"2037",4.99
"2038",4.96
"2039",4.98
"2040",4.89
"2041",4.95
"2042",4.88
"2043",4.88
"2044",4.85
"2045",4.9
"2046",4.91
"2047",4.88
"2048",4.88
"2049",4.95
"2050",4.99
"2051",5.03
"2052",5.01
"2053",5.01
"2054",5.06
"2055",5.08
"2056",4.97
"2057",4.97
"2058",4.94
"2059",4.91
"2060",4.86
"2061",4.9
"2062",4.9
"2063",4.9
"2064",4.88
"2065",4.89
"2066",4.88
"2067",4.87
"2068",4.87
"2069",4.95
"2070",4.93
"2071",4.88
"2072",4.9
"2073",4.95
"2074",4.93
"2075",4.91
"2076",4.91
"2077",5.02
"2078",5.05
"2079",5.05
"2080",5.08
"2081",5.08
"2082",5.03
"2083",5.02
"2084",5.04
"2085",4.98
"2086",4.96
"2087",5.04
"2088",5.01
"2089",5.03
"2090",5.04
"2091",5.04
"2092",5.08
"2093",5.14
"2094",5.18
"2095",5.19
"2096",5.2
"2097",5.08
"2098",5.05
"2099",5.05
"2100",4.97
"2101",5
"2102",5
"2103",5
"2104",4.98
"2105",4.93
"2106",5.01
"2107",5.03
"2108",5.02
"2109",5
"2110",5.02
"2111",5.02
"2112",NA
"2113",5.08
"2114",5.08
"2115",5.11
"2116",5.06
"2117",5.07
"2118",5.08
"2119",5.14
"2120",5.15
"2121",5.16
"2122",5.17
"2123",5.17
"2124",5.15
"2125",5.14
"2126",5.1
"2127",5.14
"2128",5.13
"2129",5.13
"2130",5.13
"2131",5.13
"2132",5.11
"2133",5.08
"2134",5.12
"2135",5.12
"2136",5.13
"2137",5.08
"2138",5.11
"2139",5.1
"2140",5.1
"2141",5.12
"2142",5.03
"2143",5.01
"2144",5
"2145",4.96
"2146",5.03
"2147",5.06
"2148",5.04
"2149",5.06
"2150",5.11
"2151",5.12
"2152",5.18
"2153",5.18
"2154",5.2
"2155",5.19
"2156",5.2
"2157",5.2
"2158",5.3
"2159",5.3
"2160",5.31
"2161",5.31
"2162",5.26
"2163",5.26
"2164",5.32
"2165",5.42
"2166",5.39
"2167",5.46
"2168",5.46
"2169",5.48
"2170",5.51
"2171",5.5
"2172",5.54
"2173",5.6
"2174",5.7
"2175",5.72
"2176",5.69
"2177",NA
"2178",5.72
"2179",5.72
"2180",5.7
"2181",5.68
"2182",5.65
"2183",5.67
"2184",5.69
"2185",5.64
"2186",5.68
"2187",5.7
"2188",5.74
"2189",5.66
"2190",5.68
"2191",5.7
"2192",5.67
"2193",5.69
"2194",5.63
"2195",5.6
"2196",5.65
"2197",5.58
"2198",5.6
"2199",5.63
"2200",5.6
"2201",5.55
"2202",5.6
"2203",5.62
"2204",5.61
"2205",5.63
"2206",5.59
"2207",5.61
"2208",5.78
"2209",5.77
"2210",5.72
"2211",5.72
"2212",5.71
"2213",5.7
"2214",5.71
"2215",5.72
"2216",5.68
"2217",5.7
"2218",5.7
"2219",5.63
"2220",5.62
"2221",5.61
"2222",5.59
"2223",5.55
"2224",5.55
"2225",5.3
"2226",5.2
"2227",5.15
"2228",5.22
"2229",5.21
"2230",5.16
"2231",5.2
"2232",5.24
"2233",5.32
"2234",5.34
"2235",5.36
"2236",5.35
"2237",5.32
"2238",5.33
"2239",5.34
"2240",5.3
"2241",5.23
"2242",5.25
"2243",5.22
"2244",5.2
"2245",5.25
"2246",5.27
"2247",5.24
"2248",5.32
"2249",5.32
"2250",5.38
"2251",5.36
"2252",5.32
"2253",5.38
"2254",5.36
"2255",5.39
"2256",5.41
"2257",5.41
"2258",5.4
"2259",5.43
"2260",5.4
"2261",5.38
"2262",5.47
"2263",5.42
"2264",5.44
"2265",5.43
"2266",5.45
"2267",5.38
"2268",5.45
"2269",5.47
"2270",5.49
"2271",5.51
"2272",5.48
"2273",5.5
"2274",5.58
"2275",5.61
"2276",5.59
"2277",5.58
"2278",5.54
"2279",5.47
"2280",5.49
"2281",5.44
"2282",5.48
"2283",5.43
"2284",5.42
"2285",5.42
"2286",5.39
"2287",5.39
"2288",5.37
"2289",5.41
"2290",5.4
"2291",5.32
"2292",5.22
"2293",5.2
"2294",5.22
"2295",5.22
"2296",5.28
"2297",5.33
"2298",5.34
"2299",5.33
"2300",5.36
"2301",5.33
"2302",5.35
"2303",5.39
"2304",5.44
"2305",5.43
"2306",5.45
"2307",5.41
"2308",5.41
"2309",5.47
"2310",5.5
"2311",5.52
"2312",5.49
"2313",5.52
"2314",5.58
"2315",5.62
"2316",5.61
"2317",5.6
"2318",5.61
"2319",5.61
"2320",5.6
"2321",5.64
"2322",5.72
"2323",5.76
"2324",5.78
"2325",5.75
"2326",5.72
"2327",5.71
"2328",5.71
"2329",5.64
"2330",5.69
"2331",5.75
"2332",5.84
"2333",5.82
"2334",5.84
"2335",5.85
"2336",5.87
"2337",5.9
"2338",5.93
"2339",5.95
"2340",5.93
"2341",5.88
"2342",5.95
"2343",5.89
"2344",5.89
"2345",5.95
"2346",5.91
"2347",5.87
"2348",5.86
"2349",5.88
"2350",5.84
"2351",5.8
"2352",5.86
"2353",5.86
"2354",5.82
"2355",5.8
"2356",5.86
"2357",5.9
"2358",5.93
"2359",5.93
"2360",5.98
"2361",5.92
"2362",5.95
"2363",5.89
"2364",5.95
"2365",5.95
"2366",5.94
"2367",5.87
"2368",5.88
"2369",5.86
"2370",5.86
"2371",5.9
"2372",5.92
"2373",5.87
"2374",5.82
"2375",NA
"2376",5.79
"2377",5.82
"2378",5.83
"2379",5.85
"2380",5.66
"2381",NA
"2382",5.62
"2383",5.61
"2384",5.61
"2385",5.63
"2386",5.63
"2387",5.68
"2388",5.71
"2389",5.66
"2390",5.61
"2391",5.6
"2392",5.58
"2393",5.59
"2394",5.63
"2395",5.61
"2396",5.6
"2397",5.63
"2398",5.7
"2399",5.74
"2400",5.72
"2401",5.75
"2402",5.74
"2403",5.77
"2404",5.77
"2405",5.75
"2406",5.76
"2407",5.77
"2408",5.8
"2409",5.78
"2410",5.82
"2411",5.81
"2412",5.83
"2413",5.82
"2414",5.81
"2415",5.76
"2416",5.76
"2417",5.78
"2418",5.75
"2419",5.78
"2420",5.79
"2421",5.8
"2422",5.78
"2423",5.81
"2424",5.85
"2425",5.9
"2426",5.94
"2427",5.94
"2428",5.94
"2429",5.94
"2430",5.96
"2431",5.98
"2432",5.9
"2433",5.92
"2434",5.84
"2435",5.85
"2436",5.84
"2437",5.9
"2438",5.9
"2439",5.93
"2440",5.88
"2441",5.9
"2442",5.98
"2443",6.01
"2444",6.05
"2445",6.07
"2446",6.08
"2447",6.07
"2448",6.04
"2449",6.09
"2450",6.15
"2451",6.15
"2452",6.12
"2453",6.16
"2454",6.21
"2455",NA
"2456",6.18
"2457",6.14
"2458",6.18
"2459",6.18
"2460",6.17
"2461",6.14
"2462",6.21
"2463",6.24
"2464",6.2
"2465",6.17
"2466",6.18
"2467",6.23
"2468",6.21
"2469",6.23
"2470",6.24
"2471",6.21
"2472",6.22
"2473",6.22
"2474",6.23
"2475",6.25
"2476",6.29
"2477",6.26
"2478",6.22
"2479",6.28
"2480",6.21
"2481",6.2
"2482",6.19
"2483",6.22
"2484",6.2
"2485",6.24
"2486",6.22
"2487",6.22
"2488",6.26
"2489",6.33
"2490",6.32
"2491",6.21
"2492",6.25
"2493",6.25
"2494",6.27
"2495",6.25
"2496",6.24
"2497",6.25
"2498",6.23
"2499",6.33
"2500",6.38
"2501",6.4
"2502",6.42
"2503",6.44
"2504",6.44
"2505",6.49
"2506",6.52
"2507",6.54
"2508",6.51
"2509",6.55
"2510",6.5
"2511",6.44
"2512",6.44
"2513",6.44
"2514",6.51
"2515",6.48
"2516",6.43
"2517",6.42
"2518",6.4
"2519",6.4
"2520",6.37
"2521",6.37
"2522",6.38
"2523",6.44
"2524",6.37
"2525",6.33
"2526",6.34
"2527",6.34
"2528",6.37
"2529",6.33
"2530",6.33
"2531",6.27
"2532",6.27
"2533",6.26
"2534",6.25
"2535",6.24
"2536",6.19
"2537",6.21
"2538",6.21
"2539",6.22
"2540",6.23
"2541",6.27
"2542",6.29
"2543",6.22
"2544",6.17
"2545",6.17
"2546",6.14
"2547",6.12
"2548",6.12
"2549",6.13
"2550",6.12
"2551",6.11
"2552",6.12
"2553",6.11
"2554",6.08
"2555",6.06
"2556",6.04
"2557",6.04
"2558",6.09
"2559",6.11
"2560",6.1
"2561",6.07
"2562",6.1
"2563",6.08
"2564",6.07
"2565",6.09
"2566",6.1
"2567",6.11
"2568",6.04
"2569",6.04
"2570",5.96
"2571",5.92
"2572",5.88
"2573",5.91
"2574",5.92
"2575",5.95
"2576",5.95
"2577",5.96
"2578",5.94
"2579",5.94
"2580",5.89
"2581",5.93
"2582",6.02
"2583",6.02
"2584",6.07
"2585",6.11
"2586",6.1
"2587",6.12
"2588",6.1
"2589",6.08
"2590",6.07
"2591",6.09
"2592",6.08
"2593",6.12
"2594",6.12
"2595",6.08
"2596",6.02
"2597",5.98
"2598",5.97
"2599",5.91
"2600",5.85
"2601",5.88
"2602",5.99
"2603",5.98
"2604",5.93
"2605",5.9
"2606",5.9
"2607",5.86
"2608",5.87
"2609",5.84
"2610",5.9
"2611",5.93
"2612",5.88
"2613",5.87
"2614",5.85
"2615",5.84
"2616",5.84
"2617",5.82
"2618",5.81
"2619",5.79
"2620",5.8
"2621",5.75
"2622",5.71
"2623",5.71
"2624",5.71
"2625",5.75
"2626",5.74
"2627",5.81
"2628",5.78
"2629",5.76
"2630",5.84
"2631",5.87
"2632",5.87
"2633",5.86
"2634",5.87
"2635",5.86
"2636",5.82
"2637",5.89
"2638",NA
"2639",5.87
"2640",5.92
"2641",5.95
"2642",5.96
"2643",5.98
"2644",NA
"2645",5.95
"2646",5.93
"2647",5.88
"2648",5.91
"2649",5.92
"2650",5.91
"2651",5.94
"2652",5.98
"2653",6.01
"2654",6.01
"2655",5.99
"2656",6.02
"2657",5.99
"2658",6.01
"2659",5.99
"2660",6.03
"2661",6.02
"2662",6.07
"2663",6.08
"2664",6.09
"2665",6.08
"2666",6.04
"2667",6.04
"2668",6.03
"2669",6.01
"2670",5.97
"2671",5.94
"2672",5.93
"2673",5.98
"2674",6
"2675",6.01
"2676",5.93
"2677",5.9
"2678",5.88
"2679",5.88
"2680",5.86
"2681",5.87
"2682",5.91
"2683",5.86
"2684",5.81
"2685",5.72
"2686",5.76
"2687",5.77
"2688",5.73
"2689",5.76
"2690",5.77
"2691",5.75
"2692",5.74
"2693",5.82
"2694",5.79
"2695",5.74
"2696",5.77
"2697",5.79
"2698",5.8
"2699",5.82
"2700",5.8
"2701",5.77
"2702",5.83
"2703",5.86
"2704",5.83
"2705",5.85
"2706",5.86
"2707",5.87
"2708",5.89
"2709",5.91
"2710",5.89
"2711",5.92
"2712",5.91
"2713",5.93
"2714",NA
"2715",6
"2716",5.97
"2717",5.98
"2718",5.98
"2719",6
"2720",5.97
"2721",5.92
"2722",5.89
"2723",5.9
"2724",5.9
"2725",5.88
"2726",5.85
"2727",5.87
"2728",5.91
"2729",5.92
"2730",5.86
"2731",5.87
"2732",5.88
"2733",5.9
"2734",5.87
"2735",5.87
"2736",5.86
"2737",5.9
"2738",5.88
"2739",5.9
"2740",5.91
"2741",5.93
"2742",5.92
"2743",5.97
"2744",6.01
"2745",6
"2746",6.03
"2747",6.06
"2748",6.05
"2749",6.06
"2750",NA
"2751",6.08
"2752",6.09
"2753",6.13
"2754",6.19
"2755",6.16
"2756",6.21
"2757",6.2
"2758",6.32
"2759",6.34
"2760",6.36
"2761",6.45
"2762",6.42
"2763",6.43
"2764",6.38
"2765",6.35
"2766",6.3
"2767",6.34
"2768",6.37
"2769",6.35
"2770",6.3
"2771",6.33
"2772",6.3
"2773",6.36
"2774",6.26
"2775",6.29
"2776",6.26
"2777",6.3
"2778",6.3
"2779",6.39
"2780",6.43
"2781",6.4
"2782",6.3
"2783",6.34
"2784",6.38
"2785",6.38
"2786",6.31
"2787",6.35
"2788",6.3
"2789",6.33
"2790",6.28
"2791",6.31
"2792",6.31
"2793",6.3
"2794",6.31
"2795",6.36
"2796",6.39
"2797",6.37
"2798",6.36
"2799",6.35
"2800",6.3
"2801",6.34
"2802",6.36
"2803",6.45
"2804",6.38
"2805",6.38
"2806",6.38
"2807",6.34
"2808",6.35
"2809",6.3
"2810",6.37
"2811",6.34
"2812",6.31
"2813",6.34
"2814",6.33
"2815",6.36
"2816",6.33
"2817",6.27
"2818",6.31
"2819",6.26
"2820",6.23
"2821",6.23
"2822",6.26
"2823",6.17
"2824",6.22
"2825",6.11
"2826",6.09
"2827",6.14
"2828",6.19
"2829",6.26
"2830",6.24
"2831",6.25
"2832",6.25
"2833",6.25
"2834",6.35
"2835",6.3
"2836",6.28
"2837",6.26
"2838",6.25
"2839",6.21
"2840",6.21
"2841",6.23
"2842",6.22
"2843",6.2
"2844",6.21
"2845",6.19
"2846",6.28
"2847",6.28
"2848",6.28
"2849",6.27
"2850",6.25
"2851",6.28
"2852",6.25
"2853",6.24
"2854",6.14
"2855",6.1
"2856",6.02
"2857",6.04
"2858",6.04
"2859",5.98
"2860",6.01
"2861",6.04
"2862",6.04
"2863",6.05
"2864",6.2
"2865",6.1
"2866",6.06
"2867",6.09
"2868",6.13
"2869",6.12
"2870",6.09
"2871",6.07
"2872",6.07
"2873",6.14
"2874",6.17
"2875",6.08
"2876",6.1
"2877",6.07
"2878",6.08
"2879",6.05
"2880",6.05
"2881",6.07
"2882",5.94
"2883",6.07
"2884",6.17
"2885",6.11
"2886",6.13
"2887",6.06
"2888",6.07
"2889",6.12
"2890",6.23
"2891",6.34
"2892",6.37
"2893",6.22
"2894",6.3
"2895",6.39
"2896",6.46
"2897",6.41
"2898",6.34
"2899",6.29
"2900",6.25
"2901",6.38
"2902",6.42
"2903",NA
"2904",6.49
"2905",6.41
"2906",6.31
"2907",6.28
"2908",NA
"2909",6.14
"2910",6.16
"2911",6.13
"2912",6.15
"2913",6.18
"2914",6.19
"2915",6.24
"2916",6.11
"2917",6.11
"2918",6.04
"2919",6.06
"2920",6.02
"2921",6.03
"2922",6.03
"2923",5.94
"2924",5.92
"2925",6.12
"2926",6.05
"2927",6.05
"2928",6.1
"2929",6.18
"2930",6.1
"2931",6.05
"2932",6.08
"2933",6.02
"2934",6.05
"2935",6.15
"2936",6.1
"2937",6.09
"2938",6.17
"2939",6.17
"2940",6.26
"2941",6.25
"2942",6.25
"2943",6.36
"2944",6.42
"2945",6.3
"2946",6.31
"2947",6.43
"2948",6.39
"2949",6.38
"2950",6.31
"2951",6.18
"2952",6.2
"2953",6.27
"2954",6.39
"2955",6.38
"2956",6.35
"2957",6.31
"2958",6.52
"2959",6.43
"2960",6.5
"2961",6.37
"2962",6.34
"2963",6.49
"2964",6.42
"2965",6.41
"2966",NA
"2967",6.6
"2968",6.56
"2969",6.54
"2970",6.57
"2971",6.53
"2972",6.47
"2973",6.59
"2974",6.59
"2975",6.6
"2976",6.48
"2977",6.5
"2978",6.48
"2979",6.4
"2980",6.46
"2981",6.41
"2982",6.43
"2983",6.49
"2984",6.61
"2985",6.65
"2986",6.63
"2987",6.58
"2988",6.57
"2989",6.56
"2990",6.65
"2991",6.67
"2992",6.6
"2993",6.57
"2994",6.49
"2995",6.46
"2996",6.51
"2997",6.5
"2998",6.54
"2999",6.5
"3000",6.43
"3001",6.4
"3002",6.42
"3003",6.55
"3004",6.58
"3005",6.49
"3006",6.47
"3007",6.45
"3008",6.39
"3009",6.45
"3010",6.56
"3011",6.49
"3012",6.49
"3013",6.58
"3014",6.65
"3015",6.69
"3016",6.66
"3017",6.6
"3018",6.53
"3019",6.46
"3020",6.5
"3021",6.56
"3022",6.47
"3023",6.57
"3024",6.71
"3025",6.67
"3026",6.81
"3027",6.86
"3028",6.83
"3029",6.8
"3030",6.73
"3031",6.8
"3032",6.74
"3033",6.79
"3034",6.74
"3035",6.75
"3036",6.7
"3037",6.69
"3038",6.76
"3039",6.79
"3040",6.75
"3041",6.76
"3042",6.76
"3043",6.73
"3044",6.71
"3045",6.69
"3046",6.69
"3047",6.84
"3048",6.77
"3049",6.76
"3050",6.85
"3051",6.97
"3052",7.01
"3053",7
"3054",7.05
"3055",7.1
"3056",6.97
"3057",7.07
"3058",6.98
"3059",7.01
"3060",7.03
"3061",6.97
"3062",6.94
"3063",6.96
"3064",7
"3065",7.04
"3066",6.93
"3067",6.95
"3068",7
"3069",6.93
"3070",6.95
"3071",6.9
"3072",6.87
"3073",6.84
"3074",6.87
"3075",6.84
"3076",6.89
"3077",6.94
"3078",6.88
"3079",6.89
"3080",6.88
"3081",6.91
"3082",6.93
"3083",6.93
"3084",6.93
"3085",6.87
"3086",6.84
"3087",6.81
"3088",6.84
"3089",6.86
"3090",6.82
"3091",6.89
"3092",6.91
"3093",7.02
"3094",6.86
"3095",7
"3096",6.99
"3097",7.07
"3098",7.38
"3099",7.42
"3100",7.45
"3101",7.43
"3102",7.64
"3103",7.64
"3104",7.49
"3105",7.89
"3106",7.89
"3107",7.93
"3108",8
"3109",7.89
"3110",8.07
"3111",8.36
"3112",8.6
"3113",8.99
"3114",9
"3115",9.2
"3116",9.26
"3117",9.41
"3118",9.65
"3119",9.7
"3120",9.62
"3121",9.59
"3122",9.58
"3123",9.82
"3124",9.95
"3125",10.09
"3126",10.17
"3127",10.22
"3128",10.23
"3129",10.15
"3130",10.02
"3131",9.91
"3132",9.88
"3133",9.92
"3134",9.86
"3135",9.86
"3136",9.76
"3137",9.86
"3138",9.8
"3139",9.79
"3140",9.78
"3141",9.75
"3142",9.73
"3143",9.89
"3144",10.15
"3145",10.02
"3146",9.97
"3147",9.97
"3148",9.94
"3149",10.01
"3150",9.85
"3151",9.91
"3152",9.95
"3153",9.89
"3154",10.04
"3155",10.09
"3156",10.03
"3157",10.05
"3158",10.01
"3159",9.99
"3160",9.95
"3161",9.84
"3162",9.71
"3163",9.58
"3164",9.58
"3165",9.6
"3166",9.59
"3167",9.58
"3168",NA
"3169",9.54
"3170",9.49
"3171",9.41
"3172",9.67
"3173",NA
"3174",9.81
"3175",9.73
"3176",9.57
"3177",9.43
"3178",9.32
"3179",9.22
"3180",9.09
"3181",9.08
"3182",8.97
"3183",8.98
"3184",9
"3185",9
"3186",9.01
"3187",9.14
"3188",9.16
"3189",9.19
"3190",9.17
"3191",9.01
"3192",9.06
"3193",9.09
"3194",9.05
"3195",9.15
"3196",9.04
"3197",9.13
"3198",9.14
"3199",9.09
"3200",9.12
"3201",9.1
"3202",8.92
"3203",8.85
"3204",8.85
"3205",9.01
"3206",8.99
"3207",8.85
"3208",8.96
"3209",9.07
"3210",9.04
"3211",9.06
"3212",9.17
"3213",9.29
"3214",9.36
"3215",9.4
"3216",9.39
"3217",9.33
"3218",9.41
"3219",9.5
"3220",9.39
"3221",9.46
"3222",9.56
"3223",9.68
"3224",9.65
"3225",9.64
"3226",9.62
"3227",9.65
"3228",9.7
"3229",9.35
"3230",9.42
"3231",9.43
"3232",9.47
"3233",9.45
"3234",9.52
"3235",9.45
"3236",9.44
"3237",9.4
"3238",9.43
"3239",9.41
"3240",9.46
"3241",9.57
"3242",9.56
"3243",9.49
"3244",9.41
"3245",9.39
"3246",NA
"3247",9.26
"3248",9.15
"3249",9.07
"3250",9.06
"3251",9.05
"3252",8.93
"3253",8.96
"3254",8.97
"3255",8.93
"3256",8.95
"3257",8.86
"3258",8.87
"3259",8.83
"3260",8.77
"3261",8.69
"3262",8.65
"3263",8.56
"3264",8.48
"3265",8.44
"3266",8.34
"3267",8.24
"3268",8.21
"3269",8.16
"3270",8.17
"3271",8.16
"3272",8.23
"3273",8.18
"3274",8.06
"3275",8.12
"3276",8.14
"3277",8.14
"3278",8.12
"3279",8.16
"3280",8.08
"3281",7.84
"3282",7.83
"3283",7.96
"3284",7.78
"3285",7.63
"3286",7.71
"3287",7.84
"3288",7.84
"3289",7.76
"3290",7.74
"3291",7.62
"3292",7.54
"3293",7.44
"3294",7.38
"3295",7.36
"3296",7.49
"3297",7.42
"3298",7.34
"3299",7.31
"3300",7.35
"3301",7.23
"3302",7.21
"3303",7.21
"3304",7.21
"3305",7.2
"3306",7.13
"3307",7.13
"3308",7.13
"3309",7.1
"3310",6.97
"3311",7.08
"3312",6.98
"3313",7.01
"3314",7.05
"3315",7.13
"3316",7.06
"3317",7.09
"3318",7.01
"3319",6.88
"3320",6.91
"3321",7
"3322",6.92
"3323",6.9
"3324",6.85
"3325",6.78
"3326",6.67
"3327",6.54
"3328",6.62
"3329",6.58
"3330",6.59
"3331",6.5
"3332",6.56
"3333",6.45
"3334",6.4
"3335",6.42
"3336",6.31
"3337",6.27
"3338",6.24
"3339",6.29
"3340",6.25
"3341",6.23
"3342",6.34
"3343",6.26
"3344",6.21
"3345",6.18
"3346",6.18
"3347",6.15
"3348",6.11
"3349",6.09
"3350",6.03
"3351",6.06
"3352",6.13
"3353",6.13
"3354",6.13
"3355",6.12
"3356",5.98
"3357",5.95
"3358",5.96
"3359",5.96
"3360",5.95
"3361",5.86
"3362",5.9
"3363",5.89
"3364",5.84
"3365",5.8
"3366",5.76
"3367",5.74
"3368",5.72
"3369",5.72
"3370",5.77
"3371",5.69
"3372",5.73
"3373",5.73
"3374",5.72
"3375",5.65
"3376",5.7
"3377",5.79
"3378",5.79
"3379",5.71
"3380",5.78
"3381",5.8
"3382",5.75
"3383",5.73
"3384",5.68
"3385",5.72
"3386",5.7
"3387",5.73
"3388",5.78
"3389",5.68
"3390",5.64
"3391",5.71
"3392",5.61
"3393",5.64
"3394",5.67
"3395",5.7
"3396",5.74
"3397",5.71
"3398",5.68
"3399",5.66
"3400",5.65
"3401",5.65
"3402",5.61
"3403",5.59
"3404",5.5
"3405",5.48
"3406",5.5
"3407",5.46
"3408",5.47
"3409",5.47
"3410",5.42
"3411",5.4
"3412",5.4
"3413",5.35
"3414",5.4
"3415",5.44
"3416",5.47
"3417",5.49
"3418",5.57
"3419",5.5
"3420",5.43
"3421",5.45
"3422",5.47
"3423",5.5
"3424",5.46
"3425",5.48
"3426",5.45
"3427",5.33
"3428",5.37
"3429",5.46
"3430",5.5
"3431",5.5
"3432",5.54
"3433",NA
"3434",5.56
"3435",5.53
"3436",5.5
"3437",5.58
"3438",NA
"3439",5.54
"3440",5.43
"3441",5.42
"3442",5.4
"3443",5.34
"3444",5.32
"3445",5.24
"3446",5.28
"3447",5.22
"3448",5.18
"3449",5.18
"3450",5.21
"3451",5.18
"3452",5.14
"3453",5.14
"3454",5.19
"3455",5.2
"3456",5.21
"3457",5.21
"3458",5.17
"3459",5.15
"3460",5.21
"3461",5.18
"3462",5.22
"3463",5.16
"3464",5.13
"3465",5.18
"3466",5.23
"3467",5.28
"3468",5.3
"3469",5.26
"3470",5.24
"3471",5.23
"3472",5.29
"3473",5.31
"3474",5.3
"3475",5.28
"3476",5.19
"3477",5.19
"3478",5.14
"3479",5.09
"3480",5.16
"3481",5.19
"3482",5.15
"3483",5.15
"3484",5.14
"3485",5.18
"3486",5.17
"3487",5.14
"3488",5.15
"3489",5.15
"3490",5.14
"3491",5.11
"3492",5.06
"3493",5.05
"3494",5.06
"3495",5.07
"3496",5.05
"3497",5.05
"3498",5.16
"3499",5.19
"3500",5.14
"3501",5.14
"3502",5.14
"3503",5.13
"3504",5.15
"3505",NA
"3506",5.26
"3507",5.23
"3508",5.13
"3509",5.15
"3510",5.13
"3511",5.09
"3512",5.06
"3513",5.07
"3514",5.04
"3515",4.96
"3516",4.99
"3517",4.99
"3518",4.93
"3519",4.96
"3520",5
"3521",4.99
"3522",4.9
"3523",4.97
"3524",4.93
"3525",4.92
"3526",4.97
"3527",4.91
"3528",4.9
"3529",4.85
"3530",5
"3531",5.02
"3532",5.04
"3533",5.04
"3534",5.02
"3535",4.93
"3536",4.96
"3537",4.9
"3538",4.96
"3539",4.99
"3540",4.99
"3541",5.03
"3542",5.06
"3543",5.12
"3544",5.19
"3545",5.13
"3546",5.16
"3547",5.18
"3548",5.24
"3549",5.24
"3550",5.11
"3551",5.12
"3552",5.15
"3553",5.16
"3554",5.28
"3555",5.19
"3556",5.21
"3557",5.23
"3558",5.2
"3559",5.12
"3560",5.13
"3561",5.11
"3562",5.06
"3563",5.02
"3564",5.04
"3565",5.03
"3566",4.97
"3567",4.94
"3568",4.98
"3569",4.97
"3570",5.01
"3571",5.01
"3572",4.96
"3573",4.99
"3574",5
"3575",5.01
"3576",4.99
"3577",5.01
"3578",4.93
"3579",4.87
"3580",4.83
"3581",4.85
"3582",4.82
"3583",4.77
"3584",4.79
"3585",4.81
"3586",4.78
"3587",4.79
"3588",4.73
"3589",4.7
"3590",4.63
"3591",4.67
"3592",4.7
"3593",4.64
"3594",4.66
"3595",4.63
"3596",4.57
"3597",4.56
"3598",4.54
"3599",4.5
"3600",4.54
"3601",4.51
"3602",4.42
"3603",4.46
"3604",4.45
"3605",4.4
"3606",4.44
"3607",4.42
"3608",4.36
"3609",4.42
"3610",4.4
"3611",4.51
"3612",4.43
"3613",4.43
"3614",4.5
"3615",4.51
"3616",4.55
